Date,Open,High,Low,Close,Adj Close,Volume
2012-12-12,63.322224,63.500000,62.233334,62.455555,34.131378,1549926
2012-12-13,62.633331,62.900002,62.066666,62.677776,34.252811,2788681
2012-12-14,62.555553,63.000000,62.277779,62.577778,34.198170,1953229
2012-12-17,62.666664,63.133331,61.855556,62.366665,34.082790,2195055
2012-12-18,62.588886,62.844444,61.888889,62.222221,34.003857,3144762
2012-12-19,62.222221,63.566666,62.222221,63.055553,34.459270,4401211
2012-12-20,63.000000,63.411110,62.422222,62.788887,34.313541,1411659
2012-12-21,62.644444,62.811111,61.622223,61.955555,33.858124,1072714
2012-12-24,61.788887,62.622223,61.788887,62.311111,34.052441,2556238
2012-12-26,62.311111,62.811111,62.111111,62.322224,34.058510,2087793
2012-12-27,62.322224,63.077778,62.122223,62.477776,34.143517,4371322
2012-12-28,62.666664,65.477776,62.666664,65.122223,35.588688,6990700
2012-12-31,65.111115,65.777779,64.333336,64.644447,35.327591,2474928
2013-01-01,64.633331,64.955559,64.099998,64.400002,35.193996,2740734
2013-01-02,64.633331,66.555557,64.622223,65.955559,36.044094,3374253
2013-01-03,66.111115,66.511108,65.222221,66.244446,36.201965,2086101
2013-01-04,66.411110,70.000000,65.911110,69.733330,38.108612,9175801
2013-01-07,69.777779,74.422218,69.777779,73.122223,39.960609,14821582
2013-01-08,73.288887,73.666664,70.900002,71.833336,39.256245,7787016
2013-01-09,77.777779,77.777779,72.066666,74.644447,40.792488,10197027
2013-01-10,75.699997,76.766663,72.444443,73.388885,40.106335,12843900
2013-01-11,73.788887,73.788887,71.555557,72.444443,39.590210,5929510
2013-01-14,72.444443,73.544441,71.466667,73.322220,40.069901,6342363
2013-01-15,73.555557,74.988892,72.688889,73.577774,40.209568,9514692
2013-01-16,73.755554,74.177780,71.955559,72.488892,39.614502,5942884
2013-01-17,72.977776,79.500000,72.366669,76.422218,41.764023,51558727
2013-01-18,76.788887,84.811111,76.722221,80.533333,44.010704,65622838
2013-01-21,80.977776,83.366669,79.177780,82.844444,45.273708,24871081
2013-01-22,81.988892,83.777779,80.133331,80.800003,44.156441,10128798
2013-01-23,80.955559,81.400002,77.155556,79.211113,43.288132,7379253
2013-01-24,79.855553,80.211113,76.199997,76.733330,41.934048,7411509
2013-01-25,76.788887,79.411110,76.199997,77.888885,42.565548,6870753
2013-01-28,78.000000,78.411110,74.733330,75.766663,41.405769,8276359
2013-01-29,75.888885,76.422218,73.133331,73.977776,40.428165,8377870
2013-01-30,74.000000,75.511108,72.311111,73.911110,40.391735,13668714
2013-01-31,73.777779,75.188889,72.711113,73.033333,39.912033,11628891
2013-02-01,69.333336,75.888885,69.333336,75.188889,41.090027,5892007
2013-02-04,75.577774,76.300003,72.911110,73.111115,39.954544,4271931
2013-02-05,73.000000,73.988892,72.033333,73.644447,40.245998,5839425
2013-02-06,73.777779,74.900002,72.966667,73.588890,40.215641,3641085
2013-02-07,73.544441,73.977776,70.666664,71.044441,38.825119,3882370
2013-02-08,71.133331,71.888885,70.522224,71.099998,38.855484,3305664
2013-02-11,71.555557,72.088890,69.866669,70.944443,38.770473,2981083
2013-02-12,71.000000,72.922218,70.588890,72.533333,39.638783,4245579
2013-02-13,72.022224,73.311111,69.777779,70.355553,38.448647,7366072
